"","CK_1","CK_2","CK_3","Cd_1","Cd_2","Cd_3"
"Os01g0648500",204,166,177,287,333,333
"Os01g0935700",1879,2064,1486,1583,1248,1286
"Os01g0885000",414,502,464,348,322,279
"Os01g0720800",568,643,756,328,369,409
"Os01g0218900",947,1027,797,852,1044,1101
"Os01g0810100",1090,869,888,1092,1006,1084
"Os01g0766900",368,291,287,333,354,403
"Os01g0585200",40,87,34,37,8,6
"Os01g0909000",11,15,8,15,5,17
"Os01g0784750",28,21,19,29,8,8
"Os01g0897000",262,295,310,386,507,419
"Os01g0776700",2576,3118,2514,2911,3150,3008
"Os01g0910200",173,151,182,254,259,321
"Os01g0191200",734,231,2986,6467,15196,18043
"Os01g0973400",4042,3218,3457,5669,6221,6332
"Os01g0142100",4268,3668,4361,6271,6490,6292
"Os01g0935400",11,28,9,18,29,36
"Os01g0186200",906,742,1136,726,1434,1371
"Os01g0339600",22,31,31,52,33,32
"Os01g0512100",2301,2109,1821,1865,1988,2032
"Os01g0350900",2875,3265,3167,3315,4101,3732
"Os01g0144800",38,61,22,37,35,32
"Os01g0818000",1934,1764,1569,2154,1901,1981
"Os01g0599550",1169,916,1009,1624,1630,1646
"Os01g0246100",3436,2682,2878,2772,2966,3114
"Os01g0267300",18,20,6,8,18,34
"Os01g0727500",348,298,323,184,168,120
"Os01g0971400",40,12,6,17,4,16
"Os01g0521400",2077,1592,1472,1407,1277,1269
"Os01g0964800",637,517,476,490,413,489
"Os01g0882200",81,103,146,254,340,231
"Os01g0678000",360,553,307,608,503,518
"Os01g0620900",14,28,18,18,4,0
"Os01g0752100",639,863,626,774,698,490
"Os01g0969100",165,187,106,118,93,112
"Os01g0162400",9,17,9,8,25,18
"Os01g0734200",150,157,98,93,100,109
"Os01g0961300",642,572,810,827,811,736
"Os01g0927900",860,756,594,905,752,792
"Os01g0228500",33,6,18,13,54,19
"Os01g0660300",817,1146,747,537,209,98
"Os01g0126600",161,180,170,165,173,117
"Os01g0533500",397,333,479,499,583,518
"Os01g0853400",3866,4515,3358,3651,3640,3537
"Os01g0588400",40,74,21,30,29,23
"Os01g0582400",1889,1928,1640,1900,1970,2142
"Os01g0183850",14,19,9,22,12,15
"Os01g0870300",243,198,249,268,286,270
"Os01g0275950",245,319,234,307,266,262
"Os01g0220200",3191,2805,2351,2766,1937,1515
"Os01g0519400",758,750,774,1224,1218,1182
"Os01g0808900",39,67,69,55,74,36
"Os01g0151200",15024,12539,13987,16291,17943,17755
"Os01g0845100",80,97,62,58,18,30
"Os01g0923200",52,17,14,40,29,55
"Os01g0138600",105,97,98,102,94,92
"Os01g0801800",39,28,56,31,20,64
"Os01g0284700",804,907,690,807,615,658
"Os01g0571166",85,33,85,43,113,81
"Os01g0887400",421,396,385,670,636,631
"Os01g0113000",36,16,22,28,37,26
"Os01g0267900",2569,3460,2218,1972,2082,1608
"Os01g0691700",2096,2307,1869,2037,1911,1954
"Os01g0755100",2408,2193,1879,1841,1951,1863
"Os01g0281400",6637,7369,5809,5422,5082,5403
"Os01g0897800",8712,7379,6523,7192,6828,6939
"Os01g0169800",381,516,478,689,506,332
"Os01g0833200",2292,2473,2066,2476,3044,2620
"Os01g0570601",6,12,26,4,19,12
"Os01g0600900",241,717,336,444,692,854
"Os01g0550000",4708,4545,3851,4262,4310,3763
"Os01g0622033",453,419,294,244,255,245
"Os01g0859600",2021,2191,1603,1725,1461,1151
"Os01g0938400",7,4,10,12,38,8
"Os01g0309900",2289,2141,2158,2283,2700,2774
"Os01g0259200",5353,5714,4260,4372,4234,4494
"Os01g0590900",1017,1075,1067,1106,1118,1102
"Os01g0376600",34,16,57,3,6,0
"Os01g0702450",19,10,14,11,2,9
"Os01g0871800",389,262,447,216,232,318
"Os01g0267100",3305,2899,2900,3589,4075,3959
"Os01g0679000",1294,950,981,1042,1046,867
"Os01g0778800",16830,20923,12328,9517,6056,4611
"Os01g0961600",1213,1076,1026,1033,1107,971
"Os01g0627500",154,95,57,86,40,64
"Os01g0911800",2805,2336,2133,2253,2529,2880
"Os01g0170900",8,2,10,22,12,13
"Os01g0949750",551,1007,622,565,388,290
"Os01g0823400",28,18,26,43,26,27
"Os01g0168300",516,608,461,508,485,481
"Os01g0182900",960,1151,830,1158,952,977
"Os01g0861900",179,216,179,240,350,307
"Os01g0209400",896,1112,776,913,633,678
"Os01g0118700",1242,1591,1242,1137,1233,1120
"Os01g0810401",174,164,165,209,188,213
"Os01g0143900",641,1024,493,460,330,188
"Os01g0862600",113,106,136,111,143,145
"Os01g0589800",532,512,712,698,886,984
"Os01g0348900",114,16,10,10,8,0
"Os01g0619000",2112,2407,2186,2172,2736,2463
"Os01g0184900",8013,7714,6578,7259,7822,7392
"Os01g0135600",176,257,219,322,477,420
"Os01g0960400",2474,2786,2132,1915,1797,1420
"Os01g0900900",763,683,758,1182,1419,1265
"Os01g0149400",7,10,11,11,23,8
"Os01g0265800",2161,2456,2092,2155,2272,2275
"Os01g0880400",519,518,516,689,624,641
"Os01g0901500",372,435,470,341,509,453
"Os01g0558600",8767,9309,6133,6343,5415,5087
