"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Os10g0189100",3159.41582955689,1.17010205617986,0.203725400471811,5.74352561570622,9.27253290173356e-09,1.06928724467335e-06
"Os11g0701700",676.677094971627,1.45379629732725,0.25365629774575,5.73136291212628,9.96268503620945e-09,1.13119902249597e-06
"Os04g0608600",1381.36720468086,1.6162055513937,0.282798134794205,5.71505025155072,1.09671610274167e-08,1.21411956154017e-06
"Os12g0527301",293.941125012943,1.39027357976216,0.244053660861284,5.69658973709215,1.22227571267756e-08,1.33972309675217e-06
"Os02g0160500",769.274065105334,1.10555166909824,0.194743753290337,5.67695574527623,1.37112926418715e-08,1.45952754992152e-06
"Os09g0553900",12184.3638729247,1.04734900229648,0.18464290102704,5.67229498925119,1.40897085464835e-08,1.49263271257268e-06
"Os04g0539000",4539.62110912211,1.01589076699373,0.17927359582312,5.66670603291771,1.45568768389774e-08,1.53478004805618e-06
"Os01g0678100",387.626830484258,1.89027720313475,0.335170740860921,5.63974408469957,1.70303084146166e-08,1.72177195711427e-06
"Os04g0310400",826.60603556298,2.34775576637863,0.416811198633449,5.63266000068124,1.77451083294093e-08,1.78588383418841e-06
"Os04g0652400",787.902795183672,1.06267943434911,0.189337708613735,5.612613790088,1.99293070572223e-08,1.96988744443732e-06
"Os01g0102300",5624.4816498804,1.21868748358739,0.217266969702513,5.60917052995238,2.03298627693242e-08,2.00054885144714e-06
"Os09g0560800",2002.71154360579,1.00012378900245,0.179091871550866,5.58441754135332,2.34484737934531e-08,2.28710422141342e-06
"Os10g0181100",63.9869286927149,2.46023613256159,0.440813983684005,5.58112088913494,2.38973465990402e-08,2.3206629431989e-06
"Os06g0320500",1037.73185871698,1.88518920109333,0.337935016546653,5.578555369485,2.42524279868308e-08,2.33466525241923e-06
"Os05g0365300",5082.59709118865,1.07393346077822,0.192905547013055,5.5671466031277,2.58944529059703e-08,2.47878248203308e-06
