"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Os11g0668300",62.8858531046859,-2.52280041119048,0.452151462626989,-5.57954716442378,2.41145553563583e-08,2.33153000063375e-06
"Os04g0618200",2963.24495715983,-1.10821426630188,0.199082226820429,-5.56661578485096,2.59734219697247e-08,2.47878248203308e-06
"Os08g0241400",71.2243994354593,-1.84134702128507,0.331495358602207,-5.55466908812646,2.78138161793385e-08,2.63173377789202e-06
"Os12g0138050",925.135444819163,-1.83380553050791,0.330185432110122,-5.55386565297136,2.79420266832953e-08,2.63261452253124e-06
"Os02g0600400",2918.26343849355,-1.1184698321264,0.202036275443587,-5.53598520696697,3.09483688905276e-08,2.86706207366181e-06
"Os11g0663100",41.6613036451191,-4.21772796822016,0.763475981678064,-5.52437544786924,3.30659705558488e-08,3.01281339126357e-06
"Os07g0192000",1179.74638017019,-1.57336002491599,0.285306183592503,-5.5146369598606,3.49500646873151e-08,3.15848727445651e-06
"Os01g0305300",59.2164516729976,-1.9859252910996,0.360525867585545,-5.50841276494086,3.62083596170246e-08,3.25889955398595e-06
"Os01g0926700",597.207107177979,-1.58565895445402,0.28831641280354,-5.49971796275951,3.80399215408375e-08,3.40988624629831e-06
"Os05g0565900",414.184266256781,-1.43048981532951,0.260198425875967,-5.49768819897245,3.8480254489601e-08,3.43544884941232e-06
"Os08g0490000",1554.89893787297,-1.23338755813961,0.225419456800595,-5.47152218200338,4.46186482379148e-08,3.84357387977706e-06
"Os04g0206700",318.563406658312,-1.25645598064805,0.230100974685892,-5.46045483885161,4.74916290233229e-08,4.02878221534633e-06
"Os10g0574750",183.186110573239,-1.13820333769944,0.208596237275911,-5.45649026350336,4.85637892499815e-08,4.08840630336061e-06
"Os08g0364900",3773.08838343966,-1.05939445393015,0.194289458850558,-5.45266047987198,4.96217559332163e-08,4.16164885650508e-06
"Os02g0606800",2024.58526079229,-1.21545733584486,0.223614070764424,-5.43551365837499,5.46387994582114e-08,4.56512324077079e-06
"Os05g0537100",3628.06893257748,-1.14182947115938,0.210284140594772,-5.42993621834631,5.63741959820715e-08,4.67483548029605e-06
"Os04g0126900",1043.09990136923,-1.0577370383556,0.195010394388708,-5.42400338028776,5.82787788608235e-08,4.79545544039951e-06
"Os07g0187400",3252.48017503224,-1.03986954573548,0.191719644573353,-5.42390712255687,5.83101881355391e-08,4.79545544039951e-06
"Os07g0538300",920.308137191728,-1.2021841459605,0.221762372312538,-5.42104656179553,5.92511233525881e-08,4.82308500790314e-06
"Os04g0634700",1147.74553490695,-1.7076451341334,0.317067652166599,-5.3857437757042,7.2145678111337e-08,5.66377529550959e-06
"Os11g0581900",45.891916757585,-2.35218958412535,0.437206356369752,-5.38004434257599,7.44674939348192e-08,5.76498175947843e-06
"Os04g0209200",1464.54335974208,-2.03325151592721,0.378482804747808,-5.37211067562769,7.78203181253507e-08,5.96200575644772e-06
"Os06g0354700",5441.67386508348,-1.09402382201897,0.203683003038324,-5.37120822896118,7.82108334093184e-08,5.97126228453696e-06
"Os07g0194800",697.032532913526,-1.42644502942299,0.265650717489936,-5.36962611244228,7.89000465795317e-08,5.98262305245689e-06
"Os04g0395800",338.822620566057,-2.13125747726249,0.399531288216805,-5.33439442696656,9.58639424783845e-08,7.02822367686726e-06
"Os08g0331900",1118.46834999222,-2.25726669362157,0.42352532499089,-5.32970889915525,9.83703122448841e-08,7.14103961775075e-06
"Os09g0133600",4748.89691550254,-1.12353190289128,0.211008391020564,-5.32458400093573,1.01184335385545e-07,7.2737739278291e-06
"Os03g0326100",653.396001208117,-1.33998448178032,0.251870834347768,-5.32012563205373,1.03695619996385e-07,7.35873308442298e-06
"Os03g0624300",1146.29938532262,-1.78338701448047,0.336406696406509,-5.30128274356778,1.14991834867985e-07,8.06317826249752e-06
"Os03g0439000",122.755620091304,-1.71820994005568,0.324120568107119,-5.30114441699923,1.15079008669401e-07,8.06317826249752e-06
"Os12g0583700",103.86653112217,-1.85157059655321,0.349619532356227,-5.29595867849468,1.18393610657628e-07,8.26925215637391e-06
"Os07g0597200",2084.14224169525,-1.48316686916219,0.280119214757581,-5.29477019434652,1.19166172830755e-07,8.28366669767403e-06
"Os07g0603600",467.270087173492,-1.65003242862513,0.311727191336906,-5.2931937748152,1.20198437950793e-07,8.31660504583909e-06
"Os01g0644000",3494.97074713284,-1.99430112377964,0.377145997377994,-5.28787561751809,1.23745072700648e-07,8.50881880330759e-06
"Os08g0398300",785.670150198802,-1.59969024589642,0.302892946373468,-5.28137173562304,1.2822023301874e-07,8.73515132082439e-06
"Os10g0189600",939.568275873024,-1.05766754963665,0.201020947670531,-5.26147927314592,1.42901000468805e-07,9.47296721970003e-06
"Os05g0117798",41.9842490086656,-2.43856755723237,0.463585348268532,-5.2602343157313,1.43871946052769e-07,9.48056177843557e-06
